#RA DEC XI ETA F475W F814W V VERR
10.909 41.139 0.169 -0.13 24.294 20.212 -712.209 1.286 
10.911 41.143 0.17 -0.126 24.09 20.381 -270.403 2.054 
10.891 41.156 0.155 -0.113 25.755 20.997 -491.384 3.211 
10.919 41.162 0.176 -0.107 25.605 20.983 -96.263 3.553 
10.922 41.18 0.179 -0.089 24.261 20.579 -228.675 4.092 
10.9 41.201 0.162 -0.068 25.421 20.528 -133.242 5.347 
10.908 41.204 0.168 -0.065 26.548 21.142 -71.893 3.243 
10.922 41.221 0.178 -0.048 24.911 20.805 -341.486 1.582 
10.97 41.24 0.215 -0.029 23.506 20.402 -369.026 1.478 
11.018 41.243 0.25 -0.026 23.374 20.412 -258.847 1.223 
11.011 41.244 0.245 -0.025 22.976 20.482 -168.143 2.636 
11.022 41.246 0.253 -0.022 23.905 20.459 -277.644 1.905 
10.965 41.253 0.211 -0.016 23.228 20.536 -274.427 1.634 
10.998 41.264 0.236 -0.004 24.45 20.425 -288.856 2.071 
11.035 41.267 0.263 -0.002 24.061 20.453 -212.721 1.752 
11.015 41.27 0.249 0.001 24.749 20.487 -228.702 1.825 
11.034 41.274 0.263 0.005 24.422 20.37 -247.477 1.824 
10.982 41.276 0.224 0.007 24.711 20.786 -193.992 4.395 
10.951 41.276 0.2 0.007 23.226 19.544 -179.438 2.199 
10.966 41.283 0.211 0.014 25.095 20.732 -241.869 2.513 
11.086 41.206 0.302 -0.063 24.896 20.763 -49.845 1.142 
11.148 41.213 0.348 -0.055 26.503 20.999 -257.537 3.687 
10.986 41.112 0.226 -0.157 25.281 20.674 -307.644 2.155 
10.963 41.117 0.209 -0.152 25.111 19.975 -295.572 0.88 
10.971 41.128 0.215 -0.141 24.186 20.352 -278.395 1.145 
10.993 41.133 0.232 -0.136 26.427 20.88 -317.592 2.512 
11.033 41.135 0.262 -0.134 26.032 20.592 -258.715 1.32 
11.001 41.144 0.238 -0.125 28.693 21.201 -78.976 1.738 
10.925 41.144 0.181 -0.125 26.969 20.513 -383.15 0.79 
11.002 41.145 0.239 -0.124 25.538 20.906 -284.814 1.636 
10.982 41.147 0.224 -0.122 25.408 20.32 -285.375 1.025 
10.932 41.151 0.186 -0.118 25.34 20.034 -288.431 0.909 
11.043 41.157 0.269 -0.112 25.34 20.509 -211.819 1.312 
11.038 41.158 0.265 -0.111 25.511 20.508 -277.169 0.918 
10.97 41.16 0.215 -0.109 25.115 20.731 -353.71 2.434 
11.006 41.164 0.242 -0.105 24.962 20.603 -302.912 1.242 
11.061 41.166 0.283 -0.102 25.46 20.556 -327.48 1.543 
11.063 41.166 0.285 -0.102 24.799 20.6 -300.032 1.004 
11.053 41.188 0.277 -0.081 25.978 20.958 -359.542 0.965 
11.076 41.188 0.294 -0.081 22.685 20.04 -9.198 1.374 
11.041 41.116 0.268 -0.152 27.565 21.46 -376.673 2.599 
11.161 41.623 0.357 0.354 27.372 21.465 -491.538 2.384 
11.122 41.68 0.328 0.412 26.385 21.132 -56.546 2.041 
11.195 41.603 0.383 0.335 25.227 20.026 -162.213 1.905 
11.193 41.602 0.381 0.334 24.006 20.647 -271.11 1.146 
10.996 41.616 0.233 0.347 27.722 21.514 -158.888 1.928 
11.04 41.62 0.266 0.351 23.729 20.068 -72.991 0.68 
10.997 41.626 0.235 0.357 26.361 20.892 -156.08 6.8 
11.033 41.626 0.261 0.357 26.446 20.731 -66.738 1.407 
11.066 41.667 0.286 0.399 24.676 20.72 -276.828 1.156 
11.247 41.662 0.421 0.394 28.207 21.439 -110.648 2.37 
10.952 41.619 0.201 0.35 24.936 20.55 -119.179 2.574 
10.967 41.623 0.211 0.354 24.32 20.669 -84.239 1.328 
10.974 41.666 0.217 0.397 24.841 20.635 -95.629 2.091 
10.959 41.603 0.206 0.334 27.212 20.971 -255.989 3.451 
10.965 41.604 0.211 0.335 26.045 20.651 -173.625 1.128 
10.95 41.606 0.199 0.337 22.865 20.37 -200.736 2.504 
10.96 41.607 0.207 0.338 25.645 20.572 -205.486 2.409 
10.959 41.603 0.206 0.334 27.212 20.971 -264.136 3.569 
11.144 41.593 0.344 0.325 25.921 21.06 -183.304 2.283 
11.089 41.57 0.304 0.301 23.228 20.475 -360.144 1.667 
11.07 41.586 0.289 0.318 26.238 21.051 -368.774 1.465 
11.055 41.554 0.278 0.285 26.708 21.189 -297.365 6.901 
11.245 41.609 0.42 0.341 26.328 20.771 -167.941 0.625 
11.138 41.591 0.34 0.322 24.682 20.775 -49.571 1.447 
11.185 41.559 0.376 0.291 28.098 21.243 -147.065 7.811 
11.195 41.603 0.383 0.335 25.227 20.026 -201.086 7.564 
11.218 41.583 0.4 0.315 25.815 20.895 -191.866 1.425 
11.108 41.589 0.318 0.321 21.818 18.665 -89.196 0.626 
11.159 41.57 0.356 0.302 25.292 20.876 -192.35 0.707 
11.179 41.589 0.371 0.321 22.915 20.325 -86.712 1.38 
11.193 41.602 0.381 0.334 24.006 20.647 -290.166 1.224 
10.978 41.606 0.22 0.337 25.68 20.263 -101.482 3.073 
11.251 41.542 0.425 0.274 24.586 20.461 -399.443 2.064 
11.277 41.547 0.445 0.279 26.83 20.557 -225.243 1.439 
11.272 41.555 0.44 0.288 23.109 20.134 -212.572 1.384 
11.27 41.604 0.439 0.336 24.498 20.728 -163.451 3.449 
11.228 41.91 0.406 0.642 23.565 20.345 -163.217 0.799 
11.296 41.888 0.458 0.62 26.946 20.98 -53.886 1.211 
11.325 41.919 0.48 0.652 25.034 20.864 -129.657 2.426 
11.345 41.902 0.494 0.634 25.01 20.588 -37.84 1.086 
